42,9
54,3881
57,27
58,7
59,18
60,244327
61,446
62,802
63,163
64,544
65,63
66,63480
67,13312
68,63
69,63
70,1154
71,203
72,693
73,1781
74,1916
75,621
76,557
77,940
78,12026
79,363
80,453
81,532
82,1791
83,452
84,420
85,797
86,367
87,378
88,375
89,4578
90,172
91,16117
92,699
93,184
94,228
95,1114
96,743
97,686
98,365
99,601
100,399
101,351
102,1018
103,3319
104,168
105,179
106,3169
107,729
108,102
109,327
110,244
111,207
112,111
113,380
114,618
115,249
116,96
117,1515
118,62
119,159
120,87
121,97
122,156
123,589
124,250
125,174
126,126
127,153
128,136
129,710
130,298
131,831
132,89
133,119
134,444
135,329
136,58
137,95
138,9890
139,695
140,429
141,88
142,2028
143,103
144,228
145,64
146,90
147,218
148,68
149,66
150,220
151,76
152,113
153,105
154,184
155,2099
156,302
157,54
158,86
159,296
160,355
161,57
162,62
163,113
164,101
165,191
166,198
167,80423
168,60
169,80
170,84
171,1419
172,335
173,59
174,95
175,634
176,115
177,126
178,73
179,178
180,86
181,71
182,301
183,650
184,75
185,68
186,81
187,579
188,144
189,118
190,79
191,83
192,102
193,74
194,73
195,348
196,62
197,58
198,88
199,442
200,106
201,87
202,93
203,150
204,148
205,52
206,75
207,153
208,84
209,74
210,380
211,80
212,59
213,58
214,2452
215,322
216,113
217,291
218,232
219,1106
220,63
221,86
222,61
223,118
224,51
225,53
226,74
227,67
228,64
229,73
230,68
231,56
232,34
233,81
234,87
235,972
236,144
237,73
238,64
239,143
240,177
241,76
242,116
243,132
244,121
245,77
246,72
247,673
248,86
249,181
250,71
251,489
252,212
253,53
254,67
255,156
256,59
257,77
258,99
259,96
260,87
261,116
262,154
263,76
264,385
265,23961
266,91
267,481
268,140
269,74
270,44
271,137
272,64
273,87
274,37
275,60
276,54
277,61
278,87
279,128
280,195
281,76
282,61
283,320
284,174
285,171
286,74
287,106
288,115
289,59
290,60
291,91
292,89
293,55
294,60
295,84
296,108
297,46
298,102
299,215
300,45
301,40
302,141
303,62
304,170
305,37
306,42
307,57
308,67
309,41
310,72
311,115
312,46
313,34
314,56
315,206
316,106
317,42
318,40
319,54
320,207
321,93
322,58
323,92
324,86
325,36
326,55
327,52
328,38
329,79
330,59
331,135
332,144
333,46
334,270
335,57
336,79
337,31
338,35
339,100
340,44
341,83
342,87
343,76
344,21
345,42
346,28
347,202
348,404
349,27
350,23
351,48
352,52
353,41
354,28
355,882
356,47
357,41
358,79
359,193
360,67
361,75
362,297
363,153
364,179
365,168
366,159
367,58
368,90
369,28
370,33
371,44
372,50
373,38
374,77
375,66
376,76
377,32
378,48
379,73
380,221
381,38
382,40
383,87
384,180
385,41
386,382
387,45
388,42
389,31
390,42
391,88
392,124
393,36
394,35
395,595
396,78
397,42
398,82
399,51
400,46
401,58
402,80
403,43
404,69
405,36
406,40
407,89
408,52
409,60
410,29
411,77
412,46
413,37
414,70
415,40
416,58
417,26
418,64
419,55
420,51
421,26
422,58
423,75
424,71
425,44
426,59
427,93
428,89
429,32
430,96
431,185
432,47
433,52
434,44
435,60
436,60
437,38
438,49
439,59
440,57
441,40
442,53
443,156
444,253
445,39
446,41
447,98
448,127
449,49
450,48
451,56
452,50
453,156
454,38
455,83
456,47
457,40
458,31
459,165
460,204
461,54
462,47
463,70
464,58
465,45
466,94
467,53
468,42
469,58
470,46
471,154
472,117
473,56
474,93
475,98
476,185
477,48
478,51
479,51
480,55
481,100
482,65
483,63
484,63
485,45
